trust_code,trust_name,latitude,longitude,region,admin_district,postcode,coordinate_source
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,52.81065,-2.109263,West Midlands,Stafford,ST163SR,NHS ODS Trust postcode geocoded with postcodes.io
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,52.026384,-0.73576,South East,Milton Keynes,MK65LD,NHS ODS Trust postcode geocoded with postcodes.io
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,51.527248,-0.089863,London,Islington,EC1V2PD,NHS ODS Trust postcode geocoded with postcodes.io
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,52.617567,1.221195,East of England,South Norfolk,NR47UY,NHS ODS Trust postcode geocoded with postcodes.io
RWW,NORTH CHESHIRE AND MERSEY NHS FOUNDATION TRUST,53.393989,-2.610717,North West,Warrington,WA51QG,NHS ODS Trust postcode geocoded with postcodes.io
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,54.896504,-2.957796,North West,Cumberland,CA27HY,NHS ODS Trust postcode geocoded with postcodes.io
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,54.702408,-1.227851,North East,Hartlepool,TS249AH,NHS ODS Trust postcode geocoded with postcodes.io
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,52.58394,-0.279371,East of England,Peterborough,PE39GZ,NHS ODS Trust postcode geocoded with postcodes.io
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,52.236068,-0.883829,East Midlands,West Northamptonshire,NN15BD,NHS ODS Trust postcode geocoded with postcodes.io
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,53.487562,-2.323424,North West,Salford,M68HD,NHS ODS Trust postcode geocoded with postcodes.io
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,53.544883,-0.096293,Yorkshire and The Humber,North East Lincolnshire,DN332BA,NHS ODS Trust postcode geocoded with postcodes.io
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,55.025248,-1.467353,North East,North Tyneside,NE298NH,NHS ODS Trust postcode geocoded with postcodes.io
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,52.94382,-1.185953,East Midlands,Nottingham,NG72UH,NHS ODS Trust postcode geocoded with postcodes.io
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,51.763867,-1.219773,South East,Oxford,OX39DU,NHS ODS Trust postcode geocoded with postcodes.io
RPG,OXLEAS NHS FOUNDATION TRUST,51.434795,0.174767,South East,Dartford,DA27WG,NHS ODS Trust postcode geocoded with postcodes.io
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,50.850287,-1.069917,South East,Portsmouth,PO63LY,NHS ODS Trust postcode geocoded with postcodes.io
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,51.135069,-0.002873,South East,Mid Sussex,RH193DZ,NHS ODS Trust postcode geocoded with postcodes.io
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,51.451023,-0.95931,South East,Reading,RG15AN,NHS ODS Trust postcode geocoded with postcodes.io
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,50.266675,-5.091511,South West,Cornwall,TR13LJ,NHS ODS Trust postcode geocoded with postcodes.io
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,50.716692,-3.506694,South West,Exeter,EX25DW,NHS ODS Trust postcode geocoded with postcodes.io
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,51.553227,-0.165298,London,Camden,NW32QG,NHS ODS Trust postcode geocoded with postcodes.io
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,51.632569,-0.310412,London,Harrow,HA74LP,NHS ODS Trust postcode geocoded with postcodes.io
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,52.173522,0.136045,East of England,Cambridge,CB20AY,NHS ODS Trust postcode geocoded with postcodes.io
RA2,ROYAL SURREY NHS FOUNDATION TRUST,51.241012,-0.607443,South East,Guildford,GU27XX,NHS ODS Trust postcode geocoded with postcodes.io
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,51.391662,-2.391217,South West,Bath and North East Somerset,BA13NG,NHS ODS Trust postcode geocoded with postcodes.io
RNZ,SALISBURY NHS FOUNDATION TRUST,51.04394,-1.789814,South West,Wiltshire,SP28BJ,NHS ODS Trust postcode geocoded with postcodes.io
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,52.491258,-1.949846,West Midlands,Sandwell,B662QT,NHS ODS Trust postcode geocoded with postcodes.io
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,53.380617,-1.490628,Yorkshire and The Humber,Sheffield,S102TH,NHS ODS Trust postcode geocoded with postcodes.io
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,53.134573,-1.233579,East Midlands,Ashfield,NG174JL,NHS ODS Trust postcode geocoded with postcodes.io
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,52.69079,-2.720398,West Midlands,Shropshire,SY26FG,NHS ODS Trust postcode geocoded with postcodes.io
RH5,SOMERSET NHS FOUNDATION TRUST,51.011569,-3.121702,South West,Somerset,TA15DA,NHS ODS Trust postcode geocoded with postcodes.io
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,54.551768,-1.21482,North East,Middlesbrough,TS43BW,NHS ODS Trust postcode geocoded with postcodes.io
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,54.902214,-1.410327,North East,Sunderland,SR47TP,NHS ODS Trust postcode geocoded with postcodes.io
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,52.289965,-1.583203,West Midlands,Warwick,CV345BW,NHS ODS Trust postcode geocoded with postcodes.io
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,53.697356,-1.494057,Yorkshire and The Humber,Wakefield,WF13SP,NHS ODS Trust postcode geocoded with postcodes.io
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,51.426682,-0.175694,London,Wandsworth,SW170QT,NHS ODS Trust postcode geocoded with postcodes.io
RWJ,STOCKPORT NHS FOUNDATION TRUST,53.383794,-2.132019,North West,Stockport,SK27JE,NHS ODS Trust postcode geocoded with postcodes.io
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,51.219192,-0.161983,South East,Reigate and Banstead,RH15RH,NHS ODS Trust postcode geocoded with postcodes.io
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,50.831176,-0.114497,South East,Brighton and Hove,BN23EW,NHS ODS Trust postcode geocoded with postcodes.io
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,53.491546,-2.071432,North West,Tameside,OL69RW,NHS ODS Trust postcode geocoded with postcodes.io
RBV,THE CHRISTIE NHS FOUNDATION TRUST,53.429783,-2.230124,North West,Manchester,M204BX,NHS ODS Trust postcode geocoded with postcodes.io
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,53.332283,-3.025849,North West,Wirral,CH634JY,NHS ODS Trust postcode geocoded with postcodes.io
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,52.501908,-2.117684,West Midlands,Dudley,DY12HQ,NHS ODS Trust postcode geocoded with postcodes.io
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,51.526078,-0.461155,London,Hillingdon,UB83NN,NHS ODS Trust postcode geocoded with postcodes.io
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,55.002783,-1.593393,North East,Newcastle upon Tyne,NE77DN,NHS ODS Trust postcode geocoded with postcodes.io
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,51.771322,0.087315,East of England,Harlow,CM201QX,NHS ODS Trust postcode geocoded with postcodes.io
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",52.75663,0.446694,East of England,King's Lynn and West Norfolk,PE304ET,NHS ODS Trust postcode geocoded with postcodes.io
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,52.884226,-3.032684,West Midlands,Shropshire,SY107AG,NHS ODS Trust postcode geocoded with postcodes.io
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,53.413991,-1.342881,Yorkshire and The Humber,Rotherham,S602UD,NHS ODS Trust postcode geocoded with postcodes.io
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,51.490562,-0.172541,London,Kensington and Chelsea,SW36JJ,NHS ODS Trust postcode geocoded with postcodes.io
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,52.420088,-1.96116,West Midlands,Birmingham,B312AP,NHS ODS Trust postcode geocoded with postcodes.io
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,52.599738,-2.095549,West Midlands,Wolverhampton,WV100QP,NHS ODS Trust postcode geocoded with postcodes.io
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,52.709274,-2.793689,West Midlands,Shropshire,SY38XQ,NHS ODS Trust postcode geocoded with postcodes.io
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,53.466411,-2.930999,North West,Liverpool,L97LJ,NHS ODS Trust postcode geocoded with postcodes.io
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,53.233597,-0.519635,East Midlands,Lincoln,LN25QY,NHS ODS Trust postcode geocoded with postcodes.io
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,51.525737,-0.137384,London,Camden,NW12PG,NHS ODS Trust postcode geocoded with postcodes.io
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,50.933011,-1.435095,South East,Southampton,SO166YD,NHS ODS Trust postcode geocoded with postcodes.io
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,52.451833,-1.942563,West Midlands,Birmingham,B152GW,NHS ODS Trust postcode geocoded with postcodes.io
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,51.459476,-2.593021,South West,"Bristol, City of",BS13NU,NHS ODS Trust postcode geocoded with postcodes.io
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,52.421229,-1.438395,West Midlands,Coventry,CV22DX,NHS ODS Trust postcode geocoded with postcodes.io
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,50.721977,-1.97311,South West,"Bournemouth, Christchurch and Poole",BH152JB,NHS ODS Trust postcode geocoded with postcodes.io
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,52.910425,-1.513523,East Midlands,Derby,DE223NE,NHS ODS Trust postcode geocoded with postcodes.io
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,52.6268,-1.135953,East Midlands,Leicester,LE15WW,NHS ODS Trust postcode geocoded with postcodes.io
