variant,label,description,n_test_rows,mae_median,rmse_median,pinball_mean,p10_p90_coverage,mae_median_pct_change_vs_full_model,rmse_median_pct_change_vs_full_model,pinball_mean_pct_change_vs_full_model
full_model,Full model (baseline),"The production model exactly as trained in Layer 1; not retrained here, its existing saved backtest predictions are reused so the comparison is against the real deployed model.",36540,399.4225485539462,785.1670790782239,175.22763167703417,0.9152983032293377,0.0,0.0,0.0
no_entity_identity,No Trust/specialty identity,"Retrained with every Trust and specialty index forced to the same constant value, so the entity embedding layer cannot distinguish one Trust or specialty from another.",36540,313.4769402835365,659.4664695475411,133.50601188486576,0.893431855500821,-21.517465296229226,-16.009409064660947,-23.809954738797376
no_lagged_features,No lagged features,"Retrained with every 1/3/6-month lagged referral, completion and net-inflow feature removed from the input list.",36540,364.207682461137,716.8962613334479,151.40569916838965,0.8840996168582376,-8.816444194324975,-8.695068803053362,-13.594849328644264
no_missingness_flags,No missingness/imputation flags,"Retrained with every missingness indicator and imputation flag removed from the input list, so the model can no longer tell an observed month from a filled one.",36540,432.63807721777437,832.9938770212443,176.43275457481016,0.8695128626163109,8.31588721870619,6.0912892577167765,0.6877470671961038
