metric,value
pinball_q10,88.57817700520856
pinball_q50,199.7112742769731
pinball_q90,237.3934437489209
pinball_mean,175.22763167703417
crps_quantile_approx,350.45526335406834
rmse_median,785.1670790782239
mae_median,399.4225485539462
