model,model_name,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,36526,273.1155615178229,560.4497511719285,21.295773817127717,11.963903136391234,87.62616738761429,136.55778075891146,83.17622844001534,102.45339219551367,0.8011553414006461,735.5832585007939
hist_gradient_boosting,hist_gradient_boosting,36526,308.25469908106226,677.2669767321543,21.459028551253386,13.503182830915296,74.20876938012124,154.12734954053113,82.41317997422428,103.58309963162556,0.7946394349230685,1023.7836714542283
TCN,TCN,36526,399.5654615034039,785.3170936434944,25.347002617849945,17.503076175914746,88.61017156660853,199.78273075170196,237.48027504682213,175.29105912171087,0.9153479713081093,3110.7409395317795
seasonal_naive_12m,seasonal_naive_12m,36526,409.21330011498657,784.01510328029,28.629456354464022,17.9257024297358,133.02996057602803,204.60665005749328,124.28679050539341,153.97446704630494,0.8101900016426655,1116.1632672616763
historical_seasonal_mean,historical_seasonal_mean,36526,699.4101559424075,1245.9294350871148,42.782741663639555,30.637856414333957,132.59387219714768,349.70507797120376,261.12388653679176,247.80761223504774,0.8039478727481794,2272.55271251659
