model,model_name,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,16773,86.62058069516485,166.12641174044518,25.785384087392135,14.4638837702204,24.466468729505753,43.31029034758242,27.505754486376908,31.76083785448836,0.7855482024682525,226.0208072497468
hist_gradient_boosting,hist_gradient_boosting,16773,93.32559873486962,183.17088829468463,25.81012814863346,15.583486072874257,22.893741548159984,46.66279936743481,24.1898620731436,31.248800996246132,0.7884099445537471,298.62576183215873
seasonal_naive_12m,seasonal_naive_12m,16773,123.25815298396232,213.1367565503098,33.81861433697633,20.581616795736753,33.9638526202826,61.62907649198116,38.92843438860072,44.84045450028816,0.7920467417873964,331.8016633875872
TCN,TCN,16773,124.43097458847775,242.52997486086946,30.847775788443393,20.77745426570954,26.260272919806884,62.215487294238876,65.56654401211279,51.34743474205285,0.8793894950217611,865.2206875933082
historical_seasonal_mean,historical_seasonal_mean,16773,196.53214650056447,355.8354597702621,43.50208084188942,32.81689064288121,40.26384602048455,98.26607325028223,75.1459725380643,71.22529726961037,0.804984200798903,585.8661705556646
