series_id,trust_code,trust_name,specialty_code,specialty_name,first_month,last_month,total_months,observed_months,missing_months,missing_pct,max_consecutive_missing_months,excluded_for_insufficient_history,discontinued_series,latest_observed_month
RE9__320,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2019-03-01,42,42,0,0.0,0,False,True,2019-03-01
RE9__330,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,330,Dermatology,2015-10-01,2019-03-01,42,42,0,0.0,0,False,True,2019-03-01
RE9__340,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2019-03-01,42,42,0,0.0,0,False,True,2019-03-01
RE9__430,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,430,Geriatric Medicine,2015-10-01,2019-03-01,42,42,0,0.0,0,False,True,2019-03-01
RE9__502,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,502,Gynaecology,2015-10-01,2019-03-01,42,42,0,0.0,0,False,True,2019-03-01
RE9__X01,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,X01,Other,2015-10-01,2019-03-01,42,42,0,0.0,0,False,True,2019-03-01
REF__100,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__101,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,101,Urology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__110,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__120,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,120,ENT,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__130,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__140,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,140,Oral Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__170,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,170,Cardiothoracic Surgery,2015-10-01,2017-11-01,26,25,1,3.8461538461538463,1,True,True,2017-11-01
REF__300,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,300,General Medicine,2015-10-01,2026-04-01,127,115,12,9.448818897637794,3,False,True,2026-04-01
REF__301,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,301,Gastroenterology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__320,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,320,Cardiology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__330,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,330,Dermatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__340,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__400,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,400,Neurology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__410,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,410,Rheumatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__430,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,430,Geriatric Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__502,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,502,Gynaecology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REF__X01,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
REM__100,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__101,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,101,Urology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__110,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__120,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,120,ENT,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__130,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__140,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,140,Oral Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__170,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,170,Cardiothoracic Surgery,2015-10-01,2020-05-01,56,52,4,7.142857142857143,3,False,True,2020-05-01
REM__300,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,300,General Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__301,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,301,Gastroenterology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__320,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__330,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,330,Dermatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__340,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__410,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,410,Rheumatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__430,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,430,Geriatric Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
REM__X01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
REN__X01,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
REP__502,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,502,Gynaecology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
REP__X01,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,65,1,1.5151515151515151,1,False,True,2021-03-01
RET__150,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,150,Neurosurgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RET__400,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,400,Neurology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RET__X01,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
RFF__100,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,100,General Surgery,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__101,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,101,Urology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__110,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__120,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,120,ENT,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__140,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,140,Oral Surgery,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__300,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,300,General Medicine,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__301,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,301,Gastroenterology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__320,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__330,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,330,Dermatology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__340,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__410,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,410,Rheumatology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__430,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,430,Geriatric Medicine,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__502,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,502,Gynaecology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RFF__X01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,65,1,1.5151515151515151,1,False,True,2021-03-01
RFR__100,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__101,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,101,Urology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__110,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__120,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,120,ENT,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__130,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__140,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,140,Oral Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__300,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,300,General Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__301,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,301,Gastroenterology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__320,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__330,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,330,Dermatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__340,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__410,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,410,Rheumatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__430,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,430,Geriatric Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__502,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,502,Gynaecology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFR__X01,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
RFS__100,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__101,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,101,Urology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__110,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__120,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,120,ENT,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__130,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__140,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,140,Oral Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__300,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,300,General Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__301,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,301,Gastroenterology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__320,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__330,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,330,Dermatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__340,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__410,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,410,Rheumatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__502,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,502,Gynaecology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RFS__X01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
RGM__170,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,170,Cardiothoracic Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGM__320,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGM__340,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGN__100,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,100,General Surgery,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__101,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,101,Urology,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__110,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__120,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,120,ENT,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__130,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__140,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,140,Oral Surgery,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__150,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,150,Neurosurgery,2015-10-01,2023-01-01,88,54,34,38.63636363636363,13,False,True,2023-01-01
RGN__160,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,160,Plastic Surgery,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__170,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,170,Cardiothoracic Surgery,2015-10-01,2022-06-01,81,58,23,28.395061728395063,16,False,True,2022-06-01
RGN__300,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,300,General Medicine,2015-10-01,2026-05-01,128,115,13,10.15625,12,False,False,2026-05-01
RGN__301,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,301,Gastroenterology,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__320,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__330,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,330,Dermatology,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__340,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__400,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,400,Neurology,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__410,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,410,Rheumatology,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__430,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,430,Geriatric Medicine,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__502,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,502,Gynaecology,2015-10-01,2026-05-01,128,116,12,9.375,12,False,False,2026-05-01
RGN__X01,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,54,12,18.181818181818183,12,False,True,2021-03-01
RGP__100,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__101,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,101,Urology,2015-10-01,2026-05-01,128,90,38,29.6875,35,False,False,2026-05-01
RGP__110,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__120,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,120,ENT,2015-10-01,2026-05-01,128,90,38,29.6875,35,False,False,2026-05-01
RGP__130,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__140,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,140,Oral Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__160,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,160,Plastic Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__300,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,300,General Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__301,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,301,Gastroenterology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
RGP__320,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__330,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,330,Dermatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__340,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__400,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,400,Neurology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__410,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,410,Rheumatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__502,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,502,Gynaecology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGP__X01,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
RGQ__100,RGQ,IPSWICH HOSPITAL NHS TRUST,100,General Surgery,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__101,RGQ,IPSWICH HOSPITAL NHS TRUST,101,Urology,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__110,RGQ,IPSWICH HOSPITAL NHS TRUST,110,Trauma & Orthopaedics,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__120,RGQ,IPSWICH HOSPITAL NHS TRUST,120,ENT,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__130,RGQ,IPSWICH HOSPITAL NHS TRUST,130,Ophthalmology,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__140,RGQ,IPSWICH HOSPITAL NHS TRUST,140,Oral Surgery,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__160,RGQ,IPSWICH HOSPITAL NHS TRUST,160,Plastic Surgery,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__300,RGQ,IPSWICH HOSPITAL NHS TRUST,300,General Medicine,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__301,RGQ,IPSWICH HOSPITAL NHS TRUST,301,Gastroenterology,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__320,RGQ,IPSWICH HOSPITAL NHS TRUST,320,Cardiology,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__330,RGQ,IPSWICH HOSPITAL NHS TRUST,330,Dermatology,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__340,RGQ,IPSWICH HOSPITAL NHS TRUST,340,Thoracic Medicine,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__400,RGQ,IPSWICH HOSPITAL NHS TRUST,400,Neurology,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__410,RGQ,IPSWICH HOSPITAL NHS TRUST,410,Rheumatology,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__430,RGQ,IPSWICH HOSPITAL NHS TRUST,430,Geriatric Medicine,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__502,RGQ,IPSWICH HOSPITAL NHS TRUST,502,Gynaecology,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGQ__X01,RGQ,IPSWICH HOSPITAL NHS TRUST,X01,Other,2015-10-01,2018-06-01,33,33,0,0.0,0,True,True,2018-06-01
RGR__100,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__101,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,101,Urology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__110,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__120,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,120,ENT,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__130,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__140,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,140,Oral Surgery,2015-10-01,2018-09-01,36,28,8,22.22222222222222,4,False,True,2018-09-01
RGR__160,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,160,Plastic Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__170,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,170,Cardiothoracic Surgery,2015-10-01,2017-05-01,20,19,1,5.0,1,True,True,2017-05-01
RGR__300,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,300,General Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__320,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,320,Cardiology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__330,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,330,Dermatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__340,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,340,Thoracic Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__400,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,400,Neurology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__410,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,410,Rheumatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__430,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,430,Geriatric Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__502,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,502,Gynaecology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
RGR__X01,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
RGT__100,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
