horizon,feature_name,display_name,raw_column,feature_group,lag,feature_kind,mean_abs_shap
1,unreported_removals_lag6_missing__lag_01,unreported_removals_lag6_missing,unreported_removals_lag6_missing,unreported-removal features,1,raw_encoder_feature,12.680857330943763
1,calendar_month_sin__lag_01,calendar_month_sin,month_sin,calendar features,1,raw_encoder_feature,12.566471109570482
1,unreported_removals_lag6__lag_02,unreported_removals_lag6,unreported_removals_lag6,unreported-removal features,2,raw_encoder_feature,11.308313300721952
1,reported_net_inflow_lag3__lag_01,reported_net_inflow_lag3,reported_net_inflow_lag3,referral or new RTT-period features,1,raw_encoder_feature,11.281231479372105
1,incomplete_decision_to_admit__lag_02,incomplete_decision_to_admit,incomplete_decision_to_admit,waiting-list lags,2,raw_encoder_feature,11.250976838056035
1,total_completed_pathways__lag_01,total_completed_pathways,completed_total,completed-pathway features,1,raw_encoder_feature,10.959625324507053
1,unreported_removals_lag3__lag_01,unreported_removals_lag3,unreported_removals_lag3,unreported-removal features,1,raw_encoder_feature,10.301800150032314
1,reported_net_inflow_lag1_missing__lag_00,reported_net_inflow_lag1_missing,reported_net_inflow_lag1_missing,referral or new RTT-period features,0,raw_encoder_feature,10.214108242467596
1,waiting_list_imputed__lag_00,waiting_list_imputed,waiting_list_imputed,waiting-list lags,0,raw_encoder_feature,10.176234990042817
1,new_rtt_periods__lag_01,new_rtt_periods,new_rtt_periods,referral or new RTT-period features,1,raw_encoder_feature,9.873683725200909
1,incomplete_total__lag_01,incomplete_total,incomplete_total,waiting-list lags,1,raw_encoder_feature,9.873487825688636
1,total_waiting__lag_01,total_waiting,waiting_list,waiting-list lags,1,raw_encoder_feature,9.839270629260973
1,new_rtt_periods_lag3_missing__lag_02,new_rtt_periods_lag3_missing,new_rtt_periods_lag3_missing,referral or new RTT-period features,2,raw_encoder_feature,9.7892256040064
1,completed_total_lag6_missing__lag_01,completed_total_lag6_missing,completed_total_lag6_missing,completed-pathway features,1,raw_encoder_feature,9.555017088456385
1,completed_total_lag3_missing__lag_02,completed_total_lag3_missing,completed_total_lag3_missing,completed-pathway features,2,raw_encoder_feature,9.542353761780637
1,completed_total_missing__lag_00,completed_total_missing,completed_total_missing,completed-pathway features,0,raw_encoder_feature,9.510019234959113
1,reported_net_inflow_lag6_missing__lag_01,reported_net_inflow_lag6_missing,reported_net_inflow_lag6_missing,referral or new RTT-period features,1,raw_encoder_feature,9.290684415349315
1,waiting_list_with_dta_imputed__lag_01,waiting_list_with_dta_imputed,waiting_list_with_dta_imputed,waiting-list lags,1,raw_encoder_feature,9.25463281073969
1,unreported_removals_missing__lag_02,unreported_removals_missing,unreported_removals_missing,unreported-removal features,2,raw_encoder_feature,9.240346139545395
1,completed_total_lag6__lag_00,completed_total_lag6,completed_total_lag6,completed-pathway features,0,raw_encoder_feature,9.151892132939835
1,completed_total_lag6__lag_02,completed_total_lag6,completed_total_lag6,completed-pathway features,2,raw_encoder_feature,9.012921563212373
1,reported_net_inflow_lag6__lag_02,reported_net_inflow_lag6,reported_net_inflow_lag6,referral or new RTT-period features,2,raw_encoder_feature,8.97604470058898
1,new_rtt_periods_lag3__lag_02,new_rtt_periods_lag3,new_rtt_periods_lag3,referral or new RTT-period features,2,raw_encoder_feature,8.908342537255056
1,new_rtt_periods_missing__lag_01,new_rtt_periods_missing,new_rtt_periods_missing,referral or new RTT-period features,1,raw_encoder_feature,8.864118025193928
1,completed_admitted_missing__lag_00,completed_admitted_missing,completed_admitted_missing,completed-pathway features,0,raw_encoder_feature,8.861677907126937
1,time_index__lag_01,time_index,time_idx,calendar features,1,raw_encoder_feature,8.834200975327303
1,completed_total_lag1_missing__lag_02,completed_total_lag1_missing,completed_total_lag1_missing,completed-pathway features,2,raw_encoder_feature,8.803556405864306
1,total_completed_pathways__lag_00,total_completed_pathways,completed_total,completed-pathway features,0,raw_encoder_feature,8.62527527629145
1,unreported_removals_lag3_missing__lag_02,unreported_removals_lag3_missing,unreported_removals_lag3_missing,unreported-removal features,2,raw_encoder_feature,8.384746730057348
1,unreported_removals_lag1_missing__lag_01,unreported_removals_lag1_missing,unreported_removals_lag1_missing,unreported-removal features,1,raw_encoder_feature,8.30060289783176
1,completed_non_admitted_missing__lag_02,completed_non_admitted_missing,completed_non_admitted_missing,completed-pathway features,2,raw_encoder_feature,8.016751062555842
1,reported_net_inflow_missing__lag_00,reported_net_inflow_missing,reported_net_inflow_missing,referral or new RTT-period features,0,raw_encoder_feature,7.89612337997755
1,completed_total_lag3__lag_00,completed_total_lag3,completed_total_lag3,completed-pathway features,0,raw_encoder_feature,7.75730425665158
1,unreported_removals_lag6_missing__lag_02,unreported_removals_lag6_missing,unreported_removals_lag6_missing,unreported-removal features,2,raw_encoder_feature,7.691620484867172
1,unreported_removals_lag3__lag_00,unreported_removals_lag3,unreported_removals_lag3,unreported-removal features,0,raw_encoder_feature,7.652456969806801
1,new_rtt_periods_missing__lag_02,new_rtt_periods_missing,new_rtt_periods_missing,referral or new RTT-period features,2,raw_encoder_feature,7.597083746919143
1,reported_net_inflow_missing__lag_01,reported_net_inflow_missing,reported_net_inflow_missing,referral or new RTT-period features,1,raw_encoder_feature,7.141133831150556
1,new_rtt_periods_lag3__lag_00,new_rtt_periods_lag3,new_rtt_periods_lag3,referral or new RTT-period features,0,raw_encoder_feature,6.927598023491141
1,reported_net_inflow_lag6_missing__lag_00,reported_net_inflow_lag6_missing,reported_net_inflow_lag6_missing,referral or new RTT-period features,0,raw_encoder_feature,6.84269273346305
1,closing_waiting_list__lag_01,closing_waiting_list,closing_waiting_list,waiting-list lags,1,raw_encoder_feature,6.684113495094098
1,waiting_list_with_dta_imputed__lag_00,waiting_list_with_dta_imputed,waiting_list_with_dta_imputed,waiting-list lags,0,raw_encoder_feature,6.636440245262868
1,new_rtt_periods_lag1_missing__lag_01,new_rtt_periods_lag1_missing,new_rtt_periods_lag1_missing,referral or new RTT-period features,1,raw_encoder_feature,6.583953578987154
1,completed_admitted_missing__lag_01,completed_admitted_missing,completed_admitted_missing,completed-pathway features,1,raw_encoder_feature,6.55528996553249
1,opening_waiting_list__lag_01,opening_waiting_list,opening_waiting_list,waiting-list lags,1,raw_encoder_feature,6.316838571858315
1,new_rtt_periods__lag_02,new_rtt_periods,new_rtt_periods,referral or new RTT-period features,2,raw_encoder_feature,6.307595030009387
1,unreported_removals_lag3_missing__lag_01,unreported_removals_lag3_missing,unreported_removals_lag3_missing,unreported-removal features,1,raw_encoder_feature,6.30548183414031
1,completed_non_admitted__lag_02,completed_non_admitted,completed_non_admitted,completed-pathway features,2,raw_encoder_feature,6.195433992847239
1,completed_total_lag3__lag_01,completed_total_lag3,completed_total_lag3,completed-pathway features,1,raw_encoder_feature,6.18348109661677
1,new_rtt_periods_lag1__lag_01,new_rtt_periods_lag1,new_rtt_periods_lag1,referral or new RTT-period features,1,raw_encoder_feature,6.146538700373001
1,reported_net_inflow_lag6__lag_00,reported_net_inflow_lag6,reported_net_inflow_lag6,referral or new RTT-period features,0,raw_encoder_feature,6.113515656940315
1,completed_total_lag6__lag_01,completed_total_lag6,completed_total_lag6,completed-pathway features,1,raw_encoder_feature,6.1036891112655915
1,new_rtt_periods_lag1__lag_00,new_rtt_periods_lag1,new_rtt_periods_lag1,referral or new RTT-period features,0,raw_encoder_feature,6.082453584451953
1,completed_admitted__lag_01,completed_admitted,completed_admitted,completed-pathway features,1,raw_encoder_feature,5.982574417648243
1,calendar_month_cos__lag_00,calendar_month_cos,month_cos,calendar features,0,raw_encoder_feature,5.8410265823967915
1,reported_net_inflow_lag1__lag_02,reported_net_inflow_lag1,reported_net_inflow_lag1,referral or new RTT-period features,2,raw_encoder_feature,5.7115363907115455
1,reported_net_inflow_lag6_missing__lag_02,reported_net_inflow_lag6_missing,reported_net_inflow_lag6_missing,referral or new RTT-period features,2,raw_encoder_feature,5.678100391262293
1,unreported_removals_lag3_missing__lag_00,unreported_removals_lag3_missing,unreported_removals_lag3_missing,unreported-removal features,0,raw_encoder_feature,5.35838425733871
1,opening_waiting_list__lag_02,opening_waiting_list,opening_waiting_list,waiting-list lags,2,raw_encoder_feature,5.317014631490964
1,reported_net_inflow_lag6__lag_01,reported_net_inflow_lag6,reported_net_inflow_lag6,referral or new RTT-period features,1,raw_encoder_feature,5.214348040719213
1,reported_net_inflow_lag1_missing__lag_01,reported_net_inflow_lag1_missing,reported_net_inflow_lag1_missing,referral or new RTT-period features,1,raw_encoder_feature,4.985281738533072
1,completed_total_lag1__lag_00,completed_total_lag1,completed_total_lag1,completed-pathway features,0,raw_encoder_feature,4.979087748003767
1,calendar_month_cos__lag_01,calendar_month_cos,month_cos,calendar features,1,raw_encoder_feature,4.941938645644355
1,total_waiting__lag_02,total_waiting,waiting_list,waiting-list lags,2,raw_encoder_feature,4.9244352988899855
1,time_index__lag_02,time_index,time_idx,calendar features,2,raw_encoder_feature,4.908153343858206
1,net_inflow__lag_01,net_inflow,net_inflow,referral or new RTT-period features,1,raw_encoder_feature,4.668056129736794
1,unreported_removals_lag1_missing__lag_02,unreported_removals_lag1_missing,unreported_removals_lag1_missing,unreported-removal features,2,raw_encoder_feature,4.455524326113726
1,waiting_list_imputed__lag_02,waiting_list_imputed,waiting_list_imputed,waiting-list lags,2,raw_encoder_feature,4.303166431793879
1,completed_total_missing__lag_01,completed_total_missing,completed_total_missing,completed-pathway features,1,raw_encoder_feature,4.063829274733913
1,completed_admitted__lag_02,completed_admitted,completed_admitted,completed-pathway features,2,raw_encoder_feature,4.007282518805501
1,new_rtt_periods_lag6__lag_02,new_rtt_periods_lag6,new_rtt_periods_lag6,referral or new RTT-period features,2,raw_encoder_feature,3.991920301069049
1,reported_net_inflow__lag_00,reported_net_inflow,reported_net_inflow,referral or new RTT-period features,0,raw_encoder_feature,3.9628111375320634
1,reported_net_inflow_lag3_missing__lag_02,reported_net_inflow_lag3_missing,reported_net_inflow_lag3_missing,referral or new RTT-period features,2,raw_encoder_feature,3.7806617796990065
1,waiting_list_imputed__lag_01,waiting_list_imputed,waiting_list_imputed,waiting-list lags,1,raw_encoder_feature,3.644257176379321
1,reported_net_inflow_lag3__lag_02,reported_net_inflow_lag3,reported_net_inflow_lag3,referral or new RTT-period features,2,raw_encoder_feature,3.6100429298485666
1,reported_net_inflow_lag1_missing__lag_02,reported_net_inflow_lag1_missing,reported_net_inflow_lag1_missing,referral or new RTT-period features,2,raw_encoder_feature,3.589701082286916
1,completed_total_lag1_missing__lag_01,completed_total_lag1_missing,completed_total_lag1_missing,completed-pathway features,1,raw_encoder_feature,3.521095631809351
1,completed_total_lag1__lag_02,completed_total_lag1,completed_total_lag1,completed-pathway features,2,raw_encoder_feature,3.49847786332085
1,total_completed_pathways__lag_02,total_completed_pathways,completed_total,completed-pathway features,2,raw_encoder_feature,3.0601174399180002
1,reported_net_inflow_lag1__lag_01,reported_net_inflow_lag1,reported_net_inflow_lag1,referral or new RTT-period features,1,raw_encoder_feature,2.9542385298545963
1,waiting_list_with_dta__lag_02,waiting_list_with_dta,waiting_list_with_dta,waiting-list lags,2,raw_encoder_feature,2.893967977414397
1,completed_total_missing__lag_02,completed_total_missing,completed_total_missing,completed-pathway features,2,raw_encoder_feature,2.889199326530993
1,unreported_removals_lag6__lag_01,unreported_removals_lag6,unreported_removals_lag6,unreported-removal features,1,raw_encoder_feature,2.8686022280596535
1,calendar_month_cos__lag_02,calendar_month_cos,month_cos,calendar features,2,raw_encoder_feature,2.8048733163275683
1,reported_net_inflow_missing__lag_02,reported_net_inflow_missing,reported_net_inflow_missing,referral or new RTT-period features,2,raw_encoder_feature,2.6880751825656746
1,completed_non_admitted_missing__lag_01,completed_non_admitted_missing,completed_non_admitted_missing,completed-pathway features,1,raw_encoder_feature,2.4769642809255425
1,unreported_removals_missing__lag_01,unreported_removals_missing,unreported_removals_missing,unreported-removal features,1,raw_encoder_feature,2.3383869775191566
1,completed_total_lag3_missing__lag_00,completed_total_lag3_missing,completed_total_lag3_missing,completed-pathway features,0,raw_encoder_feature,2.197549441282823
1,new_rtt_periods_lag6_missing__lag_01,new_rtt_periods_lag6_missing,new_rtt_periods_lag6_missing,referral or new RTT-period features,1,raw_encoder_feature,2.148528978698769
1,reported_net_inflow__lag_01,reported_net_inflow,reported_net_inflow,referral or new RTT-period features,1,raw_encoder_feature,2.080331115961053
1,new_rtt_periods_lag6_missing__lag_02,new_rtt_periods_lag6_missing,new_rtt_periods_lag6_missing,referral or new RTT-period features,2,raw_encoder_feature,2.0328700696531485
1,unreported_removals_lag1__lag_02,unreported_removals_lag1,unreported_removals_lag1,unreported-removal features,2,raw_encoder_feature,1.535446908633493
1,net_inflow__lag_02,net_inflow,net_inflow,referral or new RTT-period features,2,raw_encoder_feature,1.5030477520636238
1,calendar_month_sin__lag_02,calendar_month_sin,month_sin,calendar features,2,raw_encoder_feature,1.4788471681280861
1,opening_waiting_list_missing__lag_01,opening_waiting_list_missing,opening_waiting_list_missing,waiting-list lags,1,raw_encoder_feature,1.2472555017344182
1,new_rtt_periods_lag3_missing__lag_01,new_rtt_periods_lag3_missing,new_rtt_periods_lag3_missing,referral or new RTT-period features,1,raw_encoder_feature,1.2123920401906445
1,new_rtt_periods_lag6_missing__lag_00,new_rtt_periods_lag6_missing,new_rtt_periods_lag6_missing,referral or new RTT-period features,0,raw_encoder_feature,1.1682129309062985
1,reported_net_inflow__lag_02,reported_net_inflow,reported_net_inflow,referral or new RTT-period features,2,raw_encoder_feature,1.0063175950675742
1,completed_total_lag1__lag_01,completed_total_lag1,completed_total_lag1,completed-pathway features,1,raw_encoder_feature,0.971260988389065
1,new_rtt_periods_lag3__lag_01,new_rtt_periods_lag3,new_rtt_periods_lag3,referral or new RTT-period features,1,raw_encoder_feature,0.9440371031784526
1,calendar_month_sin__lag_00,calendar_month_sin,month_sin,calendar features,0,raw_encoder_feature,0.0
1,closing_waiting_list_missing__lag_02,closing_waiting_list_missing,closing_waiting_list_missing,waiting-list lags,2,raw_encoder_feature,0.0
1,completed_admitted__lag_00,completed_admitted,completed_admitted,completed-pathway features,0,raw_encoder_feature,0.0
