model,model_name,covid_period,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,non_covid_period,37402,274.1612747981391,563.9852611011379,21.24297608677234,11.98829208452362,87.7855210951286,137.08063739906956,83.78004625421099,102.88206824946974,0.8013207849847602,736.9160339019305
hist_gradient_boosting,hist_gradient_boosting,non_covid_period,37402,308.92497224844016,676.9172709000296,21.40677780530129,13.508409611257,74.84488189120516,154.46248612422008,82.4612224951661,103.92286350353044,0.7942356023742045,1027.2831705693677
TCN,TCN,non_covid_period,37402,400.7437113682973,789.4758383171322,25.2684756715266,17.523381690052553,89.06043880750626,200.37185568414864,237.338079593786,175.59012469514693,0.9161274798139136,3111.946006492156
seasonal_naive_12m,seasonal_naive_12m,non_covid_period,37402,410.3386449922464,786.2111234216588,28.55563360262594,17.942940823267886,132.9238441794556,205.1693224961232,124.86967033848455,154.32094567135445,0.8098764771937329,1118.292799850275
historical_seasonal_mean,historical_seasonal_mean,non_covid_period,37402,698.68114193452,1241.0771783480902,42.70265077516854,30.55133738208159,133.059886613949,349.34057096726,260.0641661573993,247.48820791286943,0.8021228811293514,2272.7920203125555
