epoch,train_loss,val_loss,learning_rate
1,0.32262942344738693,0.15412171185016632,0.001
2,0.16884111214882483,0.11305226137240727,0.001
3,0.1529562829663514,0.11027849465608597,0.001
4,0.14552772597030358,0.10256621489922206,0.001
5,0.14100104396936125,0.10764276733001073,0.001
6,0.13722093576792055,0.10099556545416515,0.001
7,0.1337639946076605,0.09901075810194016,0.001
8,0.1318268219314555,0.10056688139835994,0.001
9,0.12873028861309485,0.10137570897738139,0.001
10,0.12594973745327148,0.09963967899481456,0.0005
11,0.12273598186395786,0.10045064489046733,0.0005
12,0.12057826924260961,0.0994656930367152,0.0005
13,0.1201710902430393,0.10119536022345225,0.00025
14,0.11797625938105205,0.09997686247030894,0.00025
