trust_code,trust_name,specialty_code,specialty_name,forecast_month,baseline_predicted_backlog,patients_completed_per_session,max_feasible_additional_sessions,sessions_allocated,simulated_completed_pathways,remaining_backlog,unused_feasible_sessions,allocation_cost,percent_reduction
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,7996.58251953125,10.0,12,12,120.0,7876.5825,0.0,10.8,1.5006410514354858
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,6870.3076171875,10.0,12,12,120.0,6750.3076,0.0,10.8,1.7466466814352695
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,6237.79638671875,10.0,12,12,120.0,6117.7964,0.0,10.8,1.9237562844388265
AAV,COMMUNITY HEALTH AND EYECARE LIMITED,130,Ophthalmology Service,2027-05-01,5393.29248046875,10.0,12,12,120.0,5273.2925,0.0,10.8,2.2249859512453214
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,3075.75732421875,10.0,12,12,120.0,2955.7573,0.0,10.8,3.9014781515794748
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,2828.74609375,10.0,12,12,120.0,2708.7461,0.0,10.8,4.242162287563919
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,2812.3388671875,10.0,12,12,120.0,2692.3389,0.0,10.8,4.266911125116543
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,2535.52685546875,10.0,12,12,120.0,2415.5269,0.0,10.8,4.732744192441821
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,2320.953369140625,10.0,12,12,120.0,2200.9534,0.0,10.8,5.1702891404678315
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,2111.31640625,10.0,12,12,120.0,1991.3164,0.0,10.8,5.6836578186372915
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1925.9422607421875,10.0,12,12,120.0,1805.9423,0.0,10.8,6.23071638470389
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1908.48486328125,10.0,12,12,120.0,1788.4849,0.0,10.8,6.287710335500618
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1857.6204833984375,10.0,12,12,120.0,1737.6205,0.0,10.8,6.459877088589437
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1811.562255859375,10.0,12,12,120.0,1691.5623,0.0,10.8,6.6241168147475005
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,130,Ophthalmology Service,2027-05-01,1806.220947265625,10.0,12,12,120.0,1686.2209,0.0,10.8,6.643705476988506
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1780.8277587890625,10.0,12,12,120.0,1660.8278,0.0,10.8,6.738439436815511
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1714.9324951171875,10.0,12,12,120.0,1594.9325,0.0,10.8,6.997359974323652
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1617.44287109375,10.0,12,12,120.0,1497.4429,0.0,10.8,7.419118297442765
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1589.031494140625,10.0,12,12,120.0,1469.0315,0.0,10.8,7.55176976935237
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,130,Ophthalmology Service,2027-05-01,1588.6402587890625,10.0,12,12,120.0,1468.6403,0.0,10.8,7.553629548043163
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1586.4315185546875,10.0,12,12,120.0,1466.4315,0.0,10.8,7.564146236159349
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,130,Ophthalmology Service,2027-05-01,1495.2376708984375,10.0,12,12,120.0,1375.2377,0.0,10.8,8.025479984589746
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1453.1834716796875,10.0,12,12,120.0,1333.1835,0.0,10.8,8.257732236748874
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1448.789794921875,10.0,12,12,120.0,1328.7898,0.0,10.8,8.282775073417115
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,130,Ophthalmology Service,2027-05-01,1440.2420654296875,10.0,12,12,120.0,1320.2421,0.0,10.8,8.331932727169631
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1383.332763671875,10.0,12,12,120.0,1263.3328,0.0,10.8,8.674702367453206
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1325.244873046875,10.0,12,12,120.0,1205.2449,0.0,10.8,9.054930333298147
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,130,Ophthalmology Service,2027-05-01,1322.910888671875,10.0,12,12,120.0,1202.9109,0.0,10.8,9.070905759984557
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,130,Ophthalmology Service,2027-05-01,1258.8328857421875,10.0,12,12,120.0,1138.8329,0.0,10.8,9.53263942808818
RH5,SOMERSET NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1245.8504638671875,10.0,12,12,120.0,1125.8505,0.0,10.8,9.631974581244164
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1243.5653076171875,10.0,12,12,120.0,1123.5653,0.0,10.8,9.649674147788318
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,130,Ophthalmology Service,2027-05-01,1212.630126953125,10.0,12,12,120.0,1092.6301,0.0,10.8,9.895845182530145
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1174.432861328125,10.0,12,12,120.0,1054.4329,0.0,10.8,10.217697745982363
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1161.4700927734375,10.0,12,12,120.0,1041.4701,0.0,10.8,10.331733959111752
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1117.6041259765625,10.0,12,12,120.0,997.60413,0.0,10.8,10.737254561864113
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1109.2490234375,10.0,12,12,120.0,989.24902,0.0,10.8,10.818129875663697
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,130,Ophthalmology Service,2027-05-01,1090.3363037109375,10.0,12,12,120.0,970.3363,0.0,10.8,11.00577863835061
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1051.0692138671875,10.0,12,12,120.0,931.06921,0.0,10.8,11.416945565219754
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1034.855224609375,10.0,12,12,120.0,914.85522,0.0,10.8,11.595824917953735
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1030.329345703125,10.0,12,12,120.0,910.32935,0.0,10.8,11.646761348732499
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,130,Ophthalmology Service,2027-05-01,1008.6046142578125,10.0,12,12,120.0,888.60461,0.0,10.8,11.897625521800997
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1005.0772094726562,10.0,12,12,120.0,885.07721,0.0,10.8,11.93938126036721
RXF,MID YORKSHIRE TEACHING NHS TRUST,130,Ophthalmology Service,2027-05-01,999.0220336914062,10.0,12,12,120.0,879.02203,0.0,10.8,12.011747083955457
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,130,Ophthalmology Service,2027-05-01,944.9913330078125,10.0,12,12,120.0,824.99133,0.0,10.8,12.698529161960888
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,929.7017822265625,10.0,12,12,120.0,809.70178,0.0,10.8,12.907364737175126
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,902.360595703125,10.0,12,12,120.0,782.3606,0.0,10.8,13.298453032126835
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,889.3516235351562,10.0,12,12,120.0,769.35162,0.0,10.8,13.492975874154501
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,879.3534545898438,10.0,12,12,120.0,759.35345,0.0,10.8,13.646389784864326
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,130,Ophthalmology Service,2027-05-01,876.2772216796875,10.0,12,12,120.0,756.27722,0.0,10.8,13.694296397432153
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,862.1616821289062,10.0,12,12,120.0,742.16168,0.0,10.8,13.918503047327285
R1H,BARTS HEALTH NHS TRUST,130,Ophthalmology Service,2027-05-01,849.4496459960938,10.0,12,12,120.0,729.44965,0.0,10.8,14.126793808864784
RWJ,STOCKPORT NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,832.7634887695312,10.0,12,12,120.0,712.76349,0.0,10.8,14.409853652122615
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,809.7454833984375,10.0,12,12,120.0,689.74548,0.0,10.8,14.819471359861067
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,799.5747680664062,10.0,12,12,120.0,679.57477,0.0,10.8,15.007977339029008
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,779.5050659179688,10.0,12,12,120.0,659.50507,0.0,10.8,15.394383596299578
RMC,BOLTON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,768.4952392578125,10.0,12,12,120.0,648.49524,0.0,10.8,15.614930824541226
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,764.7722778320312,10.0,12,12,120.0,644.77228,0.0,10.8,15.690945328219113
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,736.349609375,10.0,12,12,120.0,616.34961,0.0,10.8,16.296606730307605
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,733.3033447265625,10.0,12,12,120.0,613.30334,0.0,10.8,16.364305558260632
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",130,Ophthalmology Service,2027-05-01,726.628662109375,10.0,12,12,120.0,606.62866,0.0,10.8,16.51462518030112
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,726.3792114257812,10.0,12,12,120.0,606.37921,0.0,10.8,16.520296576833015
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,130,Ophthalmology Service,2027-05-01,724.5003662109375,10.0,12,12,120.0,604.50037,0.0,10.8,16.56313862580742
B5M7B,NEWMEDICA - NORWICH,130,Ophthalmology Service,2027-05-01,710.614501953125,10.0,12,12,120.0,590.6145,0.0,10.8,16.886793003826945
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,695.4049682617188,10.0,12,12,120.0,575.40497,0.0,10.8,17.256132106729137
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,688.0380249023438,10.0,12,12,120.0,568.03802,0.0,10.8,17.440896528506855
RLQ,WYE VALLEY NHS TRUST,130,Ophthalmology Service,2027-05-01,667.4349365234375,10.0,12,12,120.0,547.43494,0.0,10.8,17.97928059101325
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,654.72412109375,10.0,12,12,120.0,534.72412,0.0,10.8,18.32833038128088
RWW,NORTH CHESHIRE AND MERSEY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,641.5315551757812,10.0,12,12,120.0,521.53156,0.0,10.8,18.70523733896764
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,625.99853515625,10.0,12,12,120.0,505.99854,0.0,10.8,19.169373929932256
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,624.511962890625,10.0,12,12,120.0,504.51196,0.0,10.8,19.21500421618287
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,620.8350830078125,10.0,12,12,120.0,500.83508,0.0,10.8,19.328804586658634
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,595.8062133789062,10.0,12,12,120.0,475.80621,0.0,10.8,20.140776867609695
R1F,ISLE OF WIGHT NHS TRUST,130,Ophthalmology Service,2027-05-01,584.6504516601562,10.0,12,12,120.0,464.65045,0.0,10.8,20.52508463121024
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,579.898681640625,10.0,12,12,120.0,459.89868,0.0,10.8,20.69327001408264
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,570.2584228515625,10.0,12,12,120.0,450.25842,0.0,10.8,21.043091200642525
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,568.3597412109375,10.0,12,12,120.0,448.35974,0.0,10.8,21.11338845786826
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,562.115966796875,10.0,12,12,120.0,442.11597,0.0,10.8,21.347908098714964
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,130,Ophthalmology Service,2027-05-01,556.87255859375,10.0,12,12,120.0,436.87256,0.0,10.8,21.54891602183301
ACG37,NEWMEDICA - IPSWICH,130,Ophthalmology Service,2027-05-01,546.5651245117188,10.0,12,12,120.0,426.56512,0.0,10.8,21.95529766140926
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,540.3313598632812,10.0,12,12,120.0,420.33136,0.0,10.8,22.20859437630333
B4N1U,SPAMEDICA ROMFORD,130,Ophthalmology Service,2027-05-01,534.0040283203125,10.0,12,12,120.0,414.00403,0.0,10.8,22.47174059294178
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,130,Ophthalmology Service,2027-05-01,530.1968383789062,10.0,12,12,120.0,410.19684,0.0,10.8,22.63310365390028
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,528.8793334960938,10.0,12,12,120.0,408.87933,0.0,10.8,22.68948555935327
NPG20,SPAMEDICA WOLVERHAMPTON,130,Ophthalmology Service,2027-05-01,526.9074096679688,10.0,12,12,120.0,406.90741,0.0,10.8,22.774399789826095
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,525.2754516601562,10.0,12,12,120.0,405.27545,0.0,10.8,22.845156692690416
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,130,Ophthalmology Service,2027-05-01,525.1776123046875,10.0,12,12,120.0,405.17761,0.0,10.8,22.84941269171632
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,521.8521728515625,10.0,12,12,120.0,401.85217,0.0,10.8,22.995017792928348
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,520.9479370117188,10.0,12,12,120.0,400.94794,0.0,10.8,23.03493141528663
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,495.2095642089844,10.0,12,12,120.0,375.20956,0.0,10.8,24.23216526354458
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,482.53155517578125,10.0,12,12,120.0,362.53156,0.0,10.8,24.868839915823795
M4C5R,NEWMEDICA - NORTHAMPTON,130,Ophthalmology Service,2027-05-01,471.5040283203125,10.0,12,12,120.0,351.50403,0.0,10.8,25.450471850153306
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,457.3482666015625,10.0,12,12,120.0,337.34827,0.0,10.8,26.238210301241367
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,453.30084228515625,10.0,12,12,120.0,333.30084,0.0,10.8,26.472485556184353
ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,130,Ophthalmology Service,2027-05-01,448.2115173339844,10.0,12,12,120.0,328.21152,0.0,10.8,26.773073729513765
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,441.84454345703125,10.0,12,12,120.0,321.84454,0.0,10.8,27.158873358740443
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",130,Ophthalmology Service,2027-05-01,435.0036315917969,10.0,12,12,120.0,315.00363,0.0,10.8,27.585976595387788
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,427.129150390625,10.0,12,12,120.0,307.12915,0.0,10.8,28.09454702172766
R7W2O,NEWCASTLE NEWMEDICA LTD,130,Ophthalmology Service,2027-05-01,420.05792236328125,10.0,12,12,120.0,300.05792,0.0,10.8,28.567488817939655
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",130,Ophthalmology Service,2027-05-01,408.2720031738281,10.0,12,12,120.0,288.272,0.0,10.8,29.39216969744265
O1P6X,SPAMEDICA OLDHAM,130,Ophthalmology Service,2027-05-01,402.5578918457031,10.0,12,12,120.0,282.55789,0.0,10.8,29.809377093517504
NCR,ISIGHT,130,Ophthalmology Service,2027-05-01,400.3044738769531,10.0,12,12,120.0,280.30447,0.0,10.8,29.977181828071696
NPG07,SPAMEDICA EYE HOSPITAL (WAKEFIELD),130,Ophthalmology Service,2027-05-01,399.24615478515625,10.0,12,12,120.0,279.24615,0.0,10.8,30.05664514529259
NPG08,SPAMEDICA BOLTON,130,Ophthalmology Service,2027-05-01,397.75494384765625,10.0,12,12,120.0,277.75494,0.0,10.8,30.169329597562736
L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),130,Ophthalmology Service,2027-05-01,394.2051086425781,10.0,12,12,120.0,274.20511,0.0,10.8,30.44100580360637
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,382.3704528808594,10.0,12,12,120.0,262.37045,0.0,10.8,31.383178040011924
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,380.6138916015625,10.0,12,12,120.0,260.61389,0.0,10.8,31.528013729362097
RA2,ROYAL SURREY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,379.66448974609375,10.0,12,12,120.0,259.66449,0.0,10.8,31.60685374611984
NPG18,SPAMEDICA HULL,130,Ophthalmology Service,2027-05-01,364.9819641113281,10.0,12,12,120.0,244.98196,0.0,10.8,32.8783369589729
L6O7H,SPAMEDICA POOLE,130,Ophthalmology Service,2027-05-01,364.3885803222656,10.0,12,12,120.0,244.38858,0.0,10.8,32.93187725418614
Z9Z1G,SPAMEDICA GATESHEAD,130,Ophthalmology Service,2027-05-01,362.81988525390625,10.0,12,12,120.0,242.81989,0.0,10.8,33.07426215517994
NPG11,SPAMEDICA BIRMINGHAM,130,Ophthalmology Service,2027-05-01,361.3242492675781,10.0,12,12,120.0,241.32425,0.0,10.8,33.21116704545733
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,348.8915100097656,10.0,12,12,120.0,228.89151,0.0,10.8,34.39464605964219
NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,130,Ophthalmology Service,2027-05-01,346.6990966796875,10.0,12,12,120.0,226.6991,0.0,10.8,34.61214671432128
NPG16,SPAMEDICA CHELMSFORD,130,Ophthalmology Service,2027-05-01,344.3665771484375,10.0,12,12,120.0,224.36658,0.0,10.8,34.846587317988934
NTPAE,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,130,Ophthalmology Service,2027-05-01,332.9258117675781,10.0,12,12,120.0,212.92581,0.0,10.8,36.04406620288555
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,130,Ophthalmology Service,2027-05-01,328.3107604980469,10.0,12,12,120.0,208.31076,0.0,10.8,36.55073620430844
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,325.22711181640625,10.0,12,12,120.0,205.22711,0.0,10.8,36.89729288858953
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,315.625,10.0,12,12,120.0,195.625,0.0,10.8,38.01980198019802
NPG21,SPAMEDICA COVENTRY,130,Ophthalmology Service,2027-05-01,304.42523193359375,10.0,12,12,120.0,184.42523,0.0,10.8,39.41854597196345
S1Z4X,NEWMEDICA - BIRMINGHAM,130,Ophthalmology Service,2027-05-01,302.9763488769531,10.0,12,12,120.0,182.97635,0.0,10.8,39.60705198435645
RNZ,SALISBURY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,300.4080810546875,10.0,12,12,120.0,180.40808,0.0,10.8,39.94566310556563
D3O0Z,PLYMOUTH NEWMEDICA LTD,130,Ophthalmology Service,2027-05-01,282.92083740234375,10.0,12,12,120.0,162.92084,0.0,10.8,42.4146913680123
NPG06,SPAMEDICA LIVERPOOL,130,Ophthalmology Service,2027-05-01,282.18475341796875,10.0,12,12,120.0,162.18475,0.0,10.8,42.52533085026653
NPG10,SPAMEDICA SHEFFIELD,130,Ophthalmology Service,2027-05-01,280.9587707519531,10.0,12,12,120.0,160.95877,0.0,10.8,42.71089301780261
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,130,Ophthalmology Service,2027-05-01,277.2619323730469,10.0,12,12,120.0,157.26193,0.0,10.8,43.280373534490096
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,130,Ophthalmology Service,2027-05-01,276.7654724121094,10.0,12,12,120.0,156.76547,0.0,10.8,43.35800956461707
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,274.5578918457031,10.0,12,12,120.0,154.55789,0.0,10.8,43.70662929894507
NNH05,OPTEGRA (BIRMINGHAM EYE HOSPITAL),130,Ophthalmology Service,2027-05-01,272.6882019042969,10.0,12,12,120.0,152.6882,0.0,10.8,44.00630432926299
NPG01,SPAMEDICA MANCHESTER,130,Ophthalmology Service,2027-05-01,268.2803955078125,10.0,12,12,120.0,148.2804,0.0,10.8,44.729321265856534
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,262.77301025390625,10.0,12,12,120.0,142.77301,0.0,10.8,45.66679046833964
NVC20,THE YORKSHIRE CLINIC,130,Ophthalmology Service,2027-05-01,257.0091857910156,10.0,12,12,120.0,137.00919,0.0,10.8,46.690938158753895
G3O5P,SPAMEDICA NEWARK,130,Ophthalmology Service,2027-05-01,255.52313232421875,10.0,12,12,120.0,135.52313,0.0,10.8,46.96248003399506
RJN,EAST CHESHIRE NHS TRUST,130,Ophthalmology Service,2027-05-01,254.001220703125,10.0,12,12,120.0,134.00122,0.0,10.8,47.24386743804481
Y8L9S,SPAMEDICA BROMLEY,130,Ophthalmology Service,2027-05-01,243.6338348388672,10.0,12,12,120.0,123.63383,0.0,10.8,49.254242572409844
NT457,WOODLANDS HOSPITAL,130,Ophthalmology Service,2027-05-01,242.41403198242188,10.0,12,12,120.0,122.41403,0.0,10.8,49.50208493240257
P5Y6K,NEWMEDICA - SHREWSBURY,130,Ophthalmology Service,2027-05-01,239.52874755859375,10.0,12,12,120.0,119.52875,0.0,10.8,50.09837074802284
R1G7E,SPAMEDICA KENDAL,130,Ophthalmology Service,2027-05-01,237.2197723388672,10.0,12,12,120.0,117.21977,0.0,10.8,50.58600251440282
NTP16,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,130,Ophthalmology Service,2027-05-01,223.93565368652344,10.0,12,12,120.0,103.93565,0.0,10.8,53.58682193947647
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,130,Ophthalmology Service,2027-05-01,216.3900909423828,10.0,12,12,120.0,96.390091,0.0,10.8,55.45540439370296
J7V1N,SPAMEDICA SOLIHULL,130,Ophthalmology Service,2027-05-01,214.17483520507812,10.0,12,12,120.0,94.174835,0.0,10.8,56.0289914009257
NPG02,SPAMEDICA WIRRAL,130,Ophthalmology Service,2027-05-01,213.7794647216797,10.0,12,12,120.0,93.779465,0.0,10.8,56.13261318444616
NT237,"NUFFIELD HEALTH, TEES HOSPITAL",130,Ophthalmology Service,2027-05-01,213.08151245117188,10.0,12,12,120.0,93.081512,0.0,10.8,56.31647655377812
ACG40,NEWMEDICA - WAKEFIELD,130,Ophthalmology Service,2027-05-01,208.82630920410156,10.0,12,12,120.0,88.826309,0.0,10.8,57.46402378960547
T8V3L,SPAMEDICA DONCASTER,130,Ophthalmology Service,2027-05-01,202.16912841796875,10.0,12,12,120.0,82.169128,0.0,10.8,59.35624342798246
NPG23,SPAMEDICA DERBY,130,Ophthalmology Service,2027-05-01,201.95416259765625,10.0,12,12,120.0,81.954163,0.0,10.8,59.419423920996536
V4U1Y,SPAMEDICA CHESTER,130,Ophthalmology Service,2027-05-01,198.8497772216797,10.0,12,12,120.0,78.849777,0.0,10.8,60.34706283136683
NPG22,SPAMEDICA STOCKTON-ON-TEES,130,Ophthalmology Service,2027-05-01,196.6206512451172,10.0,12,12,120.0,76.620651,0.0,10.8,61.03122903931488
NVC17,ROWLEY HALL HOSPITAL,130,Ophthalmology Service,2027-05-01,195.40765380859375,10.0,12,12,120.0,75.407654,0.0,10.8,61.41008177578486
