scenario,trust_code,trust_name,specialty_code,specialty_name,baseline_predicted_backlog,sessions_allocated,simulated_completed_pathways,remaining_backlog,allocation_cost,percent_reduction,solver_status,sessions_used,unused_sessions,baseline_predicted_backlog_national,remaining_backlog_national,simulated_completed_pathways_national
optimistic_p10,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,368.7235107421875,12,120.0,248.72351,10.8,32.544710739615496,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,130,Ophthalmology Service,904.3343505859375,12,120.0,784.33435,10.8,13.269428494256514,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),130,Ophthalmology Service,199.63330078125,12,120.0,79.633301,10.8,60.110211838600556,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,1562.7032470703125,12,120.0,1442.7032,10.8,7.679001129931145,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,288.26361083984375,12,120.0,168.26361,10.8,41.62856340083478,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,M4C5R,NEWMEDICA - NORTHAMPTON,130,Ophthalmology Service,253.4553680419922,12,120.0,133.45537,10.8,47.34561391499845,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NCR,ISIGHT,130,Ophthalmology Service,209.50506591796875,12,120.0,89.505066,10.8,57.27785124154742,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,183.88662719726562,12,120.0,63.886627,10.8,65.25760020127466,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,775.2667236328125,12,120.0,655.26672,10.8,15.47854387941398,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,130,Ophthalmology Service,315.283203125,12,120.0,195.2832,10.8,38.06101904909401,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RLQ,WYE VALLEY NHS TRUST,130,Ophthalmology Service,332.9864807128906,12,120.0,212.98648,10.8,36.037499102994225,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,130,Ophthalmology Service,1546.51123046875,12,120.0,1426.5112,10.8,7.759400490329955,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,396.87310791015625,12,120.0,276.87311,10.8,30.23636462341648,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,130,Ophthalmology Service,235.85446166992188,12,120.0,115.85446,10.8,50.87883398531587,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NPG06,SPAMEDICA LIVERPOOL,130,Ophthalmology Service,121.66216278076172,12,120.0,1.6621628,10.8,98.63378823557741,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,148.58160400390625,12,120.0,28.581604,10.8,80.76369938558825,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,333.60430908203125,12,120.0,213.60431,10.8,35.97075839044175,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,245.6024932861328,12,120.0,125.60249,10.8,48.8594388413627,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,285.4189147949219,12,120.0,165.41891,10.8,42.043464458626346,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",130,Ophthalmology Service,238.79913330078125,12,120.0,118.79913,10.8,50.25143866366261,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,3371.852783203125,12,120.0,3251.8528,10.8,3.5588742366742596,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,507.544921875,12,120.0,387.54492,10.8,23.643227392895486,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,425.48199462890625,12,120.0,305.48199,10.8,28.203308604083404,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,130,Ophthalmology Service,482.4273376464844,12,120.0,362.42734,10.8,24.87421226695371,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,408.5015563964844,12,120.0,288.50156,10.8,29.375653071815993,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,130,Ophthalmology Service,650.93896484375,12,120.0,530.93896,10.8,18.43490810675384,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RNZ,SALISBURY NHS FOUNDATION TRUST,130,Ophthalmology Service,122.73302459716797,12,120.0,2.7330246,10.8,97.77319543281993,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,130,Ophthalmology Service,185.94268798828125,12,120.0,65.942688,10.8,64.53601445600421,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,130,Ophthalmology Service,311.3462829589844,12,120.0,191.34628,10.8,38.54229408475333,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,415.1593933105469,12,120.0,295.15939,10.8,28.90456097912201,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,145.222412109375,12,120.0,25.222412,10.8,82.63187359098634,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,940.2591552734375,12,120.0,820.25916,10.8,12.762438879428162,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,130,Ophthalmology Service,626.1934814453125,12,120.0,506.19348,10.8,19.1634061285705,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NPG07,SPAMEDICA EYE HOSPITAL (WAKEFIELD),130,Ophthalmology Service,214.4059295654297,12,120.0,94.40593,10.8,55.96860135501986,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NPG18,SPAMEDICA HULL,130,Ophthalmology Service,182.72085571289062,12,120.0,62.720856,10.8,65.67394812804295,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NPG08,SPAMEDICA BOLTON,130,Ophthalmology Service,203.00982666015625,12,120.0,83.009827,10.8,59.11043912218256,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NPG11,SPAMEDICA BIRMINGHAM,130,Ophthalmology Service,171.26089477539062,12,120.0,51.260895,10.8,70.0685350017472,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,160.01034545898438,12,120.0,40.010345,10.8,74.99515087964092,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,1615.371337890625,12,120.0,1495.3713,10.8,7.4286324874810346,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NPG16,SPAMEDICA CHELMSFORD,130,Ophthalmology Service,158.79017639160156,12,120.0,38.790176,10.8,75.57142559251344,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,130,Ophthalmology Service,731.35986328125,12,120.0,611.35986,10.8,16.407791297381202,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RMC,BOLTON NHS FOUNDATION TRUST,130,Ophthalmology Service,422.748046875,12,120.0,302.74805,10.8,28.385701811528918,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,130,Ophthalmology Service,1054.8857421875,12,120.0,934.88574,10.8,11.375639578856937,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NPG20,SPAMEDICA WOLVERHAMPTON,130,Ophthalmology Service,278.1084289550781,12,120.0,158.10843,10.8,43.14863826704914,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NPG21,SPAMEDICA COVENTRY,130,Ophthalmology Service,143.4443359375,12,120.0,23.444336,10.8,83.65614383846086,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",130,Ophthalmology Service,212.82656860351562,12,120.0,92.826569,10.8,56.3839377702666,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,881.8185424804688,12,120.0,761.81854,10.8,13.608241856930317,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,279.0114440917969,12,120.0,159.01144,10.8,43.00898853472085,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,618.9532470703125,12,120.0,498.95325,10.8,19.387570962426523,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,130,Ophthalmology Service,890.8115844726562,12,120.0,770.81158,10.8,13.470862087075096,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,L6O7H,SPAMEDICA POOLE,130,Ophthalmology Service,150.05865478515625,12,120.0,30.058655,10.8,79.96872967561106,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,130,Ophthalmology Service,283.34735107421875,12,120.0,163.34735,10.8,42.3508458946446,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,130,Ophthalmology Service,558.7831420898438,12,120.0,438.78314,10.8,21.475236269870475,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,130,Ophthalmology Service,766.8455200195312,12,120.0,646.84552,10.8,15.648523316266312,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,B5M7B,NEWMEDICA - NORWICH,130,Ophthalmology Service,361.16082763671875,12,120.0,241.16083,10.8,33.22619476348762,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,B4N1U,SPAMEDICA ROMFORD,130,Ophthalmology Service,231.4392547607422,12,120.0,111.43925,10.8,51.849458348824136,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,R1F,ISLE OF WIGHT NHS TRUST,130,Ophthalmology Service,304.0801086425781,12,120.0,184.08011,10.8,39.46328503225129,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,362.44134521484375,12,120.0,242.44135,10.8,33.10880548930415,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,130,Ophthalmology Service,846.5631713867188,12,120.0,726.56317,10.8,14.174961072713943,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,130,Ophthalmology Service,1003.6231689453125,12,120.0,883.62317,10.8,11.956678932203767,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,507.6305236816406,12,120.0,387.63052,10.8,23.63924043213322,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,130,Ophthalmology Service,1066.093505859375,12,120.0,946.09351,10.8,11.256048305375272,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,122.04640197753906,12,120.0,2.046402,10.8,98.32325906837002,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,130,Ophthalmology Service,349.86737060546875,12,120.0,229.86737,10.8,34.29871147810441,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RJN,EAST CHESHIRE NHS TRUST,130,Ophthalmology Service,129.0635223388672,12,120.0,9.0635223,10.8,92.9774717328184,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,ACG37,NEWMEDICA - IPSWICH,130,Ophthalmology Service,247.09815979003906,12,120.0,127.09816,10.8,48.56369634721877,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,3330.063232421875,12,120.0,3210.0632,10.8,3.6035351771001323,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,130,Ophthalmology Service,216.50672912597656,12,120.0,96.506729,10.8,55.425529028327254,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,D3O0Z,PLYMOUTH NEWMEDICA LTD,130,Ophthalmology Service,145.40130615234375,12,120.0,25.401306,10.8,82.53020772335455,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,130,Ophthalmology Service,419.9521179199219,12,120.0,299.95212,10.8,28.574686227176517,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,130,Ophthalmology Service,137.06813049316406,12,120.0,17.06813,10.8,87.54770315188964,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,O1P6X,SPAMEDICA OLDHAM,130,Ophthalmology Service,180.18821716308594,12,120.0,60.188217,10.8,66.59702942251191,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,130,Ophthalmology Service,579.2616577148438,12,120.0,459.26166,10.8,20.716026756093882,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,130,Ophthalmology Service,176.9022674560547,12,120.0,56.902267,10.8,67.83406551293069,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,AAV,COMMUNITY HEALTH AND EYECARE LIMITED,130,Ophthalmology Service,2865.80712890625,12,120.0,2745.8071,10.8,4.187302027048785,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,130,Ophthalmology Service,303.3109436035156,12,120.0,183.31094,10.8,39.56335982286961,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,338.4731750488281,12,120.0,218.47318,10.8,35.45332653989162,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,130,Ophthalmology Service,498.7216491699219,12,120.0,378.72165,10.8,24.0615181233318,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,130,Ophthalmology Service,170.22569274902344,12,120.0,50.225693,10.8,70.49464629110075,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,130,Ophthalmology Service,602.9500732421875,12,120.0,482.95007,10.8,19.902145355872523,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,NTPAE,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,130,Ophthalmology Service,167.38943481445312,12,120.0,47.389435,10.8,71.68911235826616,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,1418.8927001953125,12,120.0,1298.8927,10.8,8.457299130757516,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,S1Z4X,NEWMEDICA - BIRMINGHAM,130,Ophthalmology Service,144.3160400390625,12,120.0,24.31604,10.8,83.1508403137442,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RXF,MID YORKSHIRE TEACHING NHS TRUST,130,Ophthalmology Service,547.5974731445312,12,120.0,427.59747,10.8,21.91390681752243,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,130,Ophthalmology Service,268.19952392578125,12,120.0,148.19952,10.8,44.742808728179384,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,130,Ophthalmology Service,655.0650634765625,12,120.0,535.06506,10.8,18.318791016442823,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,G3O5P,SPAMEDICA NEWARK,130,Ophthalmology Service,125.04631805419922,12,120.0,5.0463181,10.8,95.96444091059765,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RA2,ROYAL SURREY NHS FOUNDATION TRUST,130,Ophthalmology Service,196.5937957763672,12,120.0,76.593796,10.8,61.03956613997346,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RWW,NORTH CHESHIRE AND MERSEY NHS FOUNDATION TRUST,130,Ophthalmology Service,352.42169189453125,12,120.0,232.42169,10.8,34.050117447342664,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RWJ,STOCKPORT NHS FOUNDATION TRUST,130,Ophthalmology Service,478.11712646484375,12,120.0,358.11713,10.8,25.09845252506839,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,216.6959991455078,12,120.0,96.695999,10.8,55.37711839313746,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,130,Ophthalmology Service,1172.00732421875,12,120.0,1052.0073,10.8,10.238843863880371,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,R7W2O,NEWCASTLE NEWMEDICA LTD,130,Ophthalmology Service,219.94029235839844,12,120.0,99.940292,10.8,54.560262111708425,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,130,Ophthalmology Service,397.54718017578125,12,120.0,277.54718,10.8,30.18509650777557,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
