trust_code,trust_name,selection_p50
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,223660.92031098338
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,217038.14783922053
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,159735.68861377047
R1H,BARTS HEALTH NHS TRUST,148346.0552147299
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,141384.63119249803
