trust_code,trust_name,specialty_code,specialty_name,baseline_predicted_backlog,sessions_allocated,simulated_completed_pathways,remaining_backlog,allocation_cost,percent_reduction
AAH,TETBURY HOSPITAL TRUST LTD,140,Oral Surgery Service,348.2800178527832,0,0.0,348.280017,0.0,0.0
AAH,TETBURY HOSPITAL TRUST LTD,130,Ophthalmology Service,1319.521499633789,0,0.0,1319.521502,0.0,0.0
AAH,TETBURY HOSPITAL TRUST LTD,120,Ear Nose and Throat Service,193.70461559295654,0,0.0,193.704617,0.0,0.0
AAH,TETBURY HOSPITAL TRUST LTD,110,Trauma and Orthopaedic Service,190.77172470092773,0,0.0,190.771726,0.0,0.0
AAH,TETBURY HOSPITAL TRUST LTD,101,Urology Service,65.88541793823242,0,0.0,65.88541790000001,0.0,0.0
AAH,TETBURY HOSPITAL TRUST LTD,100,General Surgery Service,350.9632263183594,0,0.0,350.963228,0.0,0.0
A4M8P,BUCKSHAW HOSPITAL,502,Gynaecology Service,946.897533416748,0,0.0,946.8975340000001,0.0,0.0
A4M8P,BUCKSHAW HOSPITAL,120,Ear Nose and Throat Service,692.2202606201172,0,0.0,692.220261,0.0,0.0
A4M8P,BUCKSHAW HOSPITAL,110,Trauma and Orthopaedic Service,973.4444999694824,0,0.0,973.4445,0.0,0.0
A4M8P,BUCKSHAW HOSPITAL,101,Urology Service,1710.3115692138672,0,0.0,1710.31157,0.0,0.0
ACG40,NEWMEDICA - WAKEFIELD,130,Ophthalmology Service,2414.8497009277344,0,0.0,2414.8496999999998,0.0,0.0
ADP02,KIMS HOSPITAL (NEWNHAM COURT),100,General Surgery Service,304.8498821258545,0,0.0,304.849881,0.0,0.0
ADP02,KIMS HOSPITAL (NEWNHAM COURT),101,Urology Service,48.79224157333374,0,0.0,48.7922416,0.0,0.0
