trust_code,trust_name,specialty_code,specialty_name,baseline_predicted_backlog,sessions_allocated,simulated_completed_pathways,remaining_backlog,allocation_cost,percent_reduction
NT436,SHIRLEY OAKS HOSPITAL,110,Trauma and Orthopaedic Service,957.6521987915039,0,0.0,957.652201,0.0,0.0
NT421,KINGS OAK HOSPITAL,502,Gynaecology Service,70.03129816055298,0,0.0,70.0312981,0.0,0.0
NT424,MERIDEN HOSPITAL,100,General Surgery Service,808.6182022094727,0,0.0,808.618203,0.0,0.0
NT423,MANOR HOSPITAL,502,Gynaecology Service,374.9256286621094,0,0.0,374.925629,0.0,0.0
NT423,MANOR HOSPITAL,110,Trauma and Orthopaedic Service,764.5453605651855,0,0.0,764.54536,0.0,0.0
NT423,MANOR HOSPITAL,100,General Surgery Service,223.85205459594727,0,0.0,223.852055,0.0,0.0
NT422,LONDON INDEPENDENT HOSPITAL,502,Gynaecology Service,174.70242023468018,0,0.0,174.70242,0.0,0.0
NT422,LONDON INDEPENDENT HOSPITAL,150,Neurosurgical Service,122.85712623596191,0,0.0,122.8571268,0.0,0.0
NT422,LONDON INDEPENDENT HOSPITAL,130,Ophthalmology Service,262.38356590270996,0,0.0,262.383567,0.0,0.0
NT422,LONDON INDEPENDENT HOSPITAL,110,Trauma and Orthopaedic Service,4293.235870361328,0,0.0,4293.23586,0.0,0.0
NT422,LONDON INDEPENDENT HOSPITAL,101,Urology Service,391.86502838134766,0,0.0,391.865029,0.0,0.0
NT422,LONDON INDEPENDENT HOSPITAL,100,General Surgery Service,2578.492904663086,0,0.0,2578.49291,0.0,0.0
NT421,KINGS OAK HOSPITAL,110,Trauma and Orthopaedic Service,588.8601264953613,0,0.0,588.860126,0.0,0.0
NT416,HENDON HOSPITAL,502,Gynaecology Service,237.60958576202393,0,0.0,237.60958599999998,0.0,0.0
NT421,KINGS OAK HOSPITAL,101,Urology Service,132.00969791412354,0,0.0,132.0096992,0.0,0.0
NT421,KINGS OAK HOSPITAL,100,General Surgery Service,148.55722045898438,0,0.0,148.557219,0.0,0.0
NT420,HIGHFIELD HOSPITAL,110,Trauma and Orthopaedic Service,2297.3379669189453,0,0.0,2297.33796,0.0,0.0
NT420,HIGHFIELD HOSPITAL,100,General Surgery Service,486.1961975097656,0,0.0,486.196198,0.0,0.0
NT419,HARBOUR HOSPITAL,110,Trauma and Orthopaedic Service,644.2203216552734,0,0.0,644.220323,0.0,0.0
NT418,HAMPSHIRE CLINIC,502,Gynaecology Service,218.4255256652832,0,0.0,218.425526,0.0,0.0
NT418,HAMPSHIRE CLINIC,110,Trauma and Orthopaedic Service,519.670223236084,0,0.0,519.670223,0.0,0.0
NT418,HAMPSHIRE CLINIC,101,Urology Service,58.37815570831299,0,0.0,58.3781559,0.0,0.0
NT418,HAMPSHIRE CLINIC,100,General Surgery Service,92.27001762390137,0,0.0,92.2700177,0.0,0.0
NT417,GORING HALL HOSPITAL,110,Trauma and Orthopaedic Service,1579.4736785888672,0,0.0,1579.47369,0.0,0.0
NT424,MERIDEN HOSPITAL,110,Trauma and Orthopaedic Service,2781.959030151367,0,0.0,2781.95903,0.0,0.0
NT424,MERIDEN HOSPITAL,150,Neurosurgical Service,411.49133682250977,0,0.0,411.491338,0.0,0.0
NT427,PARK HOSPITAL,100,General Surgery Service,209.6913719177246,0,0.0,209.691371,0.0,0.0
NT427,PARK HOSPITAL,101,Urology Service,67.79338121414185,0,0.0,67.7933812,0.0,0.0
NT436,SHIRLEY OAKS HOSPITAL,100,General Surgery Service,201.72793006896973,0,0.0,201.72793,0.0,0.0
NT435,SHELBURNE HOSPITAL,110,Trauma and Orthopaedic Service,294.9088249206543,0,0.0,294.908825,0.0,0.0
NT435,SHELBURNE HOSPITAL,101,Urology Service,61.10484313964844,0,0.0,61.104843100000004,0.0,0.0
NT435,SHELBURNE HOSPITAL,100,General Surgery Service,46.68416213989258,0,0.0,46.6841624,0.0,0.0
NT434,SAXON CLINIC,110,Trauma and Orthopaedic Service,957.899299621582,0,0.0,957.8993,0.0,0.0
NT434,SAXON CLINIC,100,General Surgery Service,537.611644744873,0,0.0,537.611644,0.0,0.0
NT433,SARUM ROAD HOSPITAL,110,Trauma and Orthopaedic Service,754.2868843078613,0,0.0,754.286882,0.0,0.0
NT433,SARUM ROAD HOSPITAL,100,General Surgery Service,67.04767608642578,0,0.0,67.047676,0.0,0.0
NT431,RUNNYMEDE HOSPITAL,130,Ophthalmology Service,78.32609796524048,0,0.0,78.326098,0.0,0.0
NT431,RUNNYMEDE HOSPITAL,110,Trauma and Orthopaedic Service,269.0214385986328,0,0.0,269.021438,0.0,0.0
NT431,RUNNYMEDE HOSPITAL,100,General Surgery Service,188.01566791534424,0,0.0,188.015667,0.0,0.0
NT430,RIDGEWAY HOSPITAL,502,Gynaecology Service,126.79684638977051,0,0.0,126.7968464,0.0,0.0
NT430,RIDGEWAY HOSPITAL,130,Ophthalmology Service,435.9019584655762,0,0.0,435.901958,0.0,0.0
NT430,RIDGEWAY HOSPITAL,110,Trauma and Orthopaedic Service,99.33599901199341,0,0.0,99.335999,0.0,0.0
NT430,RIDGEWAY HOSPITAL,100,General Surgery Service,164.44913482666016,0,0.0,164.449133,0.0,0.0
NT429,PRIORY HOSPITAL,110,Trauma and Orthopaedic Service,634.4346580505371,0,0.0,634.434658,0.0,0.0
NT428,PRINCESS MARGARET HOSPITAL,110,Trauma and Orthopaedic Service,178.03881359100342,0,0.0,178.038813,0.0,0.0
NT428,PRINCESS MARGARET HOSPITAL,100,General Surgery Service,137.5198106765747,0,0.0,137.519811,0.0,0.0
NT427,PARK HOSPITAL,502,Gynaecology Service,114.08916854858398,0,0.0,114.089168,0.0,0.0
NT427,PARK HOSPITAL,150,Neurosurgical Service,88.13267135620117,0,0.0,88.1326713,0.0,0.0
NT427,PARK HOSPITAL,110,Trauma and Orthopaedic Service,1826.6763305664062,0,0.0,1826.67633,0.0,0.0
NT417,GORING HALL HOSPITAL,100,General Surgery Service,143.70743083953857,0,0.0,143.7074323,0.0,0.0
NT416,HENDON HOSPITAL,130,Ophthalmology Service,337.250696182251,0,0.0,337.250694,0.0,0.0
NT402,BATH CLINIC,110,Trauma and Orthopaedic Service,1772.2156677246094,0,0.0,1772.21569,0.0,0.0
NT404,BEAUMONT HOSPITAL,502,Gynaecology Service,432.8942985534668,0,0.0,432.894298,0.0,0.0
NT406,BLACKHEATH HOSPITAL,150,Neurosurgical Service,44.56270170211792,0,0.0,44.5627017,0.0,0.0
NT406,BLACKHEATH HOSPITAL,130,Ophthalmology Service,145.87326908111572,0,0.0,145.873268,0.0,0.0
NT406,BLACKHEATH HOSPITAL,110,Trauma and Orthopaedic Service,1390.3251495361328,0,0.0,1390.3251520000001,0.0,0.0
NT406,BLACKHEATH HOSPITAL,101,Urology Service,140.29053211212158,0,0.0,140.29053199999998,0.0,0.0
NT406,BLACKHEATH HOSPITAL,100,General Surgery Service,228.11307525634766,0,0.0,228.11307499999998,0.0,0.0
NT405,BISHOPS WOOD HOSPITAL,502,Gynaecology Service,50.76011562347412,0,0.0,50.7601156,0.0,0.0
NT405,BISHOPS WOOD HOSPITAL,130,Ophthalmology Service,41.499165058135986,0,0.0,41.499165,0.0,0.0
