"RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","Y56","Z9B2Z","BROCKLEY HILL","","","STANMORE","","HA7 4LP","19910401","","","","","","","020 3947 0100","","","","1","","H","","",""
"RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","Y56","Z9B2Z","NORTH MIDDLESEX HOSPITAL","STERLING WAY","","LONDON","","N18 1QX","19910401","20241231","","","","","","0208 887 3055","","","","1","","H","","",""
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","Y56","Z9B2Z","PIELD HEATH ROAD","","","UXBRIDGE","","UB8 3NN","19910401","","","","","","","01895 238282","","","","1","","H","","",""
"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","Y56","QMF","GOODMAYES HOSPITAL","157 BARLEY LANE","","ILFORD","","IG3 8XJ","20010401","","","","","","","0300 555 1200","","","","1","","H","","",""
"RAX","KINGSTON AND RICHMOND NHS FOUNDATION TRUST","Y56","QWE","GALSWORTHY ROAD","","","KINGSTON UPON THAMES","","KT2 7QB","19910401","","","","","","","020 8546 7711","","","","1","","H","","",""
"RBA","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","Y58","QSL","MUSGROVE PARK HOSPITAL","","","TAUNTON","","TA1 5DA","19910401","20200331","","","","","","01823 333444","","","","1","","K","","",""
"RBB","ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST","Y58","QOX","UPPER BOROUGH WALLS","","","BATH","","BA1 1RL","19910401","20150131","","","","","","01225 465941","","","","1","","K","","",""
"RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","Y58","QVV","DORSET COUNTY HOSPITAL","WILLIAMS AVENUE","","DORCHESTER","","DT1 2JY","19910401","","","","","","","01305 251150","","","","1","","K","","",""
"RBF","NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST","Y59","S0E4D","WINDMILL ROAD","HEADINGTON","","OXFORD","","OX3 7LD","19910401","20111101","","","","","","01865 741155","","","","1","","J","","",""
"RBK","WALSALL HEALTHCARE NHS TRUST","Y60","QUA","MANOR HOSPITAL","MOAT ROAD","","WALSALL","","WS2 9PS","19910401","","","","","","","01922 721172","","","","1","","F","","",""
"RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","ARROWE PARK HOSPITAL","ARROWE PARK ROAD","UPTON","WIRRAL","","CH49 5PE","19910401","","","","","","","0151 678 5111","","","","1","","B","","",""
"RBN","MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST","Y62","QYG","WHISTON HOSPITAL","WARRINGTON ROAD","","PRESCOT","","L35 5DR","19910401","","","","","","","0151 426 1600","","","","1","","B","","",""
"RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","THOMAS DRIVE","","","LIVERPOOL","","L14 3PE","19910401","","","","","","","0151 600 1616","","","","1","","B","","",""
"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","Y62","QYG","ALDER HEY HOSPITAL","EATON ROAD","WEST DERBY","LIVERPOOL","","L12 2AP","19910401","","","","","","","0151 228 4811","","","","1","","B","","",""
"RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","Y62","QYG","LEIGHTON HOSPITAL","LEIGHTON","","CREWE","","CW1 4QJ","19910401","","","","","","","01270 255141","","","","1","","B","","",""
"RBV","THE CHRISTIE NHS FOUNDATION TRUST","Y62","QOP","550 WILMSLOW ROAD","WITHINGTON","","MANCHESTER","","M20 4BX","19910401","","","","","","","0161 446 3000","","","","1","","B","","",""
"RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST","Y58","QJK","NORTH DEVON DISTRICT HOSPITAL","RALEIGH PARK","","BARNSTAPLE","","EX31 4JB","19910401","20220331","","","","","","01271 322577","","","","1","","K","","",""
"RC1","BEDFORD HOSPITAL NHS TRUST","Y61","S1Y5D","SOUTH WING","KEMPSTON ROAD","","BEDFORD","","MK42 9DJ","19920401","20200331","","","","","","01234 355122","","","","1","","G","","",""
"RC3","EALING HOSPITAL NHS TRUST","Y56","Z9B2Z","UXBRIDGE ROAD","","","SOUTHALL","","UB1 3HW","19920401","20140930","","","","","","020 8967 5000","","","","1","","H","","",""
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Y61","S1Y5D","LEWSEY ROAD","","","LUTON","","LU4 0DZ","19920401","","","","","","","01582 491166","","","","1","","G","","",""
"RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QOQ","YORK HOSPITAL","WIGGINTON ROAD","","YORK","","YO31 8HE","19920401","","","","","","","01904 631313","","","","1","","D","","",""
"RCC","SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST","Y63","QOQ","SCARBOROUGH GENERAL HOSPITAL","WOODLANDS DRIVE","","SCARBOROUGH","","YO12 6QL","19920401","20120630","","","","","","01723 368111","","","","1","","D","","",""
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","Y63","QOQ","HARROGATE DISTRICT HOSPITAL","LANCASTER PARK ROAD","","HARROGATE","","HG2 7SX","19920401","","","","","","","01423 885959","","","","1","","D","","",""
"RCF","AIREDALE NHS FOUNDATION TRUST","Y63","QWO","AIREDALE GENERAL HOSPITAL","SKIPTON ROAD","STEETON","KEIGHLEY","","BD20 6TD","19920401","","","","","","","01535 652511","","","","1","","D","","",""
"RCS","NOTTINGHAM CITY HOSPITAL NHS TRUST","Y60","QT1","HUCKNALL ROAD","","","NOTTINGHAM","","NG5 1PB","19920401","20060331","","","","","","0115 969 1169","","","","1","","E","","",""
"RCU","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","Y63","QF7","WESTERN BANK","","","SHEFFIELD","","S10 2TH","19920401","","","","","","","0114 271 7000","","","","1","","D","","",""
"RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","Y61","T6Y0W","QUEEN ELIZABETH HOSPITAL","GAYTON ROAD","","KING'S LYNN","","PE30 4ET","19920401","","","","","","","01553 613613","","","","1","","G","","",""
"RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST","Y58","QOX","COMBE PARK","","","BATH","","BA1 3NG","19920401","","","","","","","01225 428331","","","","1","","K","","",""
